Название книги,Автор,Издательство,Цена со скидкой,Цена без скидки,Процент скидки,Наличие на складе
Практическое использование Vim. Редактируйте текст со скоростью мысли,Нейл Дрю,ДМК-Пресс,1044,2321,55,На складе
Анализ сетей (графов) в среде R. Руководство пользователя,Люк Дуглас А.,ДМК-Пресс,1219,2709,55,На складе
Основы проектирования в Autodesk Inventor 2016,Зиновьев Дмитрий Валериевич,ДМК-Пресс,466,1035,55,На складе
Bootstrap в примерах,Морето Сильвио,ДМК-Пресс,813,1806,55,На складе
Изучай Haskell во имя добра!,Липовача Миран,ДМК-Пресс,1164,2587,55,На складе
Matlab & Simulink. Проектирование мехатронных систем на ПК. Учебное пособие для ВУЗов + CD,Герман-Галкин Сергей Германович,Корона-Принт:Учебное пособие,332,737,55,На складе
10 практических устройств на AVR-микроконтроллерах. Книга 2 +CD,Кравченко Алексей Владимирович,Корона-Принт,293,650,55,На складе
Вычислительная геометрия. Алгоритмы и приложения,Де Берг Марк и др.,ДМК-Пресс,1393,3095,55,На складе
"Создаем динамические веб-сайты с помощью PHP, MySQL, JavaScript, CSS и HTML5",Никсон Робин,Питер:Бестселлеры O`Reilly,1400,1795,22,Ограничено
Разработка веб-приложений в ReactJS,"Хортон Адам, Вайс Райан",ДМК-Пресс,813,1806,55,На складе
Введение в статистическое обучение с примерами на языке R,Джеймс Гарет и др.,ДМК-Пресс,1741,3869,55,На складе
Современное программирование с нуля!,Потопахин Виталий Валерьевич,ДМК-Пресс:Учебное пособие,410,911,55,На складе
Программирование на языке Lua,Иерузалимски Роберту,ДМК-Пресс,986,2192,55,На складе
Android NDK. Руководство для начинающих,Ретабоуил Сильвен,ДМК-Пресс,817,1816,55,На складе
Скрапинг веб-сайтов с помощью Python. Сбор данных из современного интернета,Митчелл Райан,ДМК-Пресс,840,1866,55,На складе
PIC-микроконтроллеры: архитектура и программирование,Предко Майкл,ДМК-Пресс: ,696,1547,55,Ограничено
Моделирование антенных устройств в Matlab с использованием пакета расширения Antenna Toolbox,Типикин А. А.,Солон-пресс,279,619,55,Ограничено
Управление электронными устройствами на С++. Разработка практических приложений,"Катупития Янта, Бентли Ким",ДМК-Пресс,813,1806,55,На складе
C# 6.0. Справочник. Полное описание языка,"Албахари Джозеф, Албахари Бен",Вильямс,2955,6567,55,Ограничено
LabVIEW: стиль программирования,Блюм Питер,ДМК-Пресс:LabVIEW,522,1161,55,На складе
Искусство автономного тестирования с примерами на С#,Ошероув Рой,ДМК-Пресс,929,2064,55,На складе
Графовые базы данных. Новые возможности для работы,Робинсон Ян и др.,ДМК-Пресс,970,2155,55,На складе
Руководство по микропроцессорному обеспечению,,ДМК-Пресс,813,1806,55,Ограничено
Чисто функциональные структуры данных,Окасаки Крис,ДМК-Пресс,696,1547,55,На складе
Программирование компьютерного зрения на языке Python,Солем Ян Эрик,ДМК-Пресс,929,2064,55,На складе
"UML Проектирование систем реального времени, распределенных и параллельных приложений",Гома Хассан,ДМК-Пресс,1451,3224,55,На складе
"Периферийные устройства: интерфейсы, схемотехника, программирование",Авдеев Вадим Александрович,ДМК-Пресс:Все о радиоэлектронике,1044,2321,55,Ограничено
R в действии. Анализ и визуализация данных на языке R,Кабаков Роберт И.,ДМК-Пресс,1161,2580,55,На складе
Анализ больших наборов данных,Лесковец Юре и др.,ДМК-Пресс,1552,3449,55,На складе
Построение компиляторов,Вирт Никлаус,ДМК-Пресс,580,1289,55,На складе
Современный PHP. Новые возможности и передовой опыт,Локхарт Джош,ДМК-Пресс,753,1674,55,На складе
MATLAB. Теория и практика,Гилат Амос,ДМК-Пресс,929,2064,55,На складе
Параллельное программирование на С++ в действии. Практика разработки многопоточных программ,Уильямс Энтони,ДМК-Пресс,1552,3449,55,На складе
Введение в надежное и безопасное распределенное программирование,Качина Кристиан и др.,ДМК-Пресс,1294,2875,55,На складе
C# 6.0. Карманный справочник,"Албахари Джозеф, Албахари Бен",Вильямс,470,1044,55,На складе
Разработка веб-приложений с использованием Flask на языке Python,Гринберг Мигель,ДМК-Пресс,986,2192,55,На складе
Python. К вершинам мастерства,Рамальо Лучано,ДМК-Пресс,1552,3449,55,На складе
Введение в ECMAScript 6,Прасти Нараян,ДМК-Пресс,580,1289,55,Ограничено
Программирование для Windows на С/С++. В 2-х томах. Том 2,Мартынов Николай Николаевич,Бином,248,550,55,На складе
Программирование мобильных устройств на платформе .Net Compact Framework,Самре Иво,Вильямс,600,1334,55,Ограничено
"Разработка приложений для iPhone, iPad и iPod touch с использованием iOS SDK",Марк Дэйв и др.,Вильямс,1166,2592,55,На складе
C# 7 и .NET Core. Кросс-платформенная разработка для профессионалов,Прайс Марк Дж.,Питер:Библиотека программиста,2025,2596,22,На складе
Компьютерные вирусы и антивирусы: взгляд программиста,Климентьев Константин Евгеньевич,ДМК-Пресс:Профессиональное программирование,1035,2301,55,На складе
Java SE 9. Базовый курс,Хорстманн Кей С.,Диалектика,3258,7240,55,На складе
Прикладное программирование. Учебное пособие,Никифоров Сергей Николаевич,Лань:Учебники для вузов. Специальная литература,621,1381,55,На складе
Программирование на C# для начинающих. Основные сведения,Васильев Алексей Николаевич,Бомбора:Российский компьютерный бестселлер,1124,1540,27,На складе
Алгоритмы для чайников,"Массарон Лука, Мюллер Джон Пол","Диалектика:Для ""чайников""",1400,3112,55,На складе
Хакинг. Искусство эксплойта,Эриксон Джон,Питер,1810,2321,22,На складе
Глубокое обучение на Python,Шолле Франсуа,Питер:Библиотека программиста,1600,2051,22,На складе
LabVIEW в научных исследованиях,Евдокимов Юрий Кириллович и др.,ДМК-Пресс:Все о LabVIEW,870,1934,55,На складе
Python. Разработка на основе тестирования,Персиваль Гарри,ДМК-Пресс,1974,4386,55,На складе
"Чистый код. Создание, анализ и рефакторинг",Мартин Роберт С.,Питер,824,1056,22,На складе
Разработка одностраничных веб-приложений,"Миковски Майкл С., Пауэлл Джош К.",ДМК-Пресс,929,2064,55,На складе
Теоретический минимум по Computer Science. Все что нужно программисту и разработчику,Феррейра Фило Владстон,Питер:Библиотека программиста,821,1053,22,На складе
Программирование искусственного интеллекта в приложениях,Джонс М. Тим,ДМК-Пресс:Для программистов,580,1289,55,На складе
Программирование на Ардуино. От простого к сложному,Мамичев Дмитрий Иванович,Солон-пресс:Радиоэлектроника,523,1163,55,На складе
Запускаем Ansible,"Хохштейн Лорин, Мозер Рене",ДМК-Пресс,1422,3161,55,На складе
Современный Java. Рецепты программирования,Коузен Кен,ДМК-Пресс,929,2064,55,На складе
Сам себе программист. Как научиться программировать и устроиться в Ebay?,Альтхофф Кори,Бомбора:Мировой компьютерный бестселлер,734,1006,27,На складе
"Программное обеспечение геодезии, фотограм, кадастра, инж.из.",Браверман Борис Аронович,Инфра-Инженерия,715,1589,55,На складе
Собираем устройства для тестов на проникновение,Бирюков Андрей Александрович,ДМК-Пресс,870,1934,55,На складе
Java. Карманный справочник,"Лигуори Роберт, Лигуори Патрисия",Вильямс,1166,2592,55,На складе
Чистая архитектура. Искусство разработки программного обеспечения,Мартин Роберт С.,Питер:Библиотека программиста,1023,1311,22,На складе
Объектно Ориентированное Программирование,Гаско Рик,Солон-пресс:Программирование,768,1706,55,На складе
Простая Математика для Простых Программистов,Гаско Рик,Солон-пресс:Программирование,620,1377,55,На складе
Простой учебник программирования,Гаско Рик,Солон-пресс:Программирование,570,1266,55,На складе
Потоковая обработка данных. Конвейер реального времени,Пселтис Эндрю Дж.,ДМК-Пресс,870,1934,55,На складе
Java для чайников,Берд Барри,"Диалектика:Для ""чайников""",1789,3976,55,На складе
Психбольница в руках пациентов. Алан Купер об интерфейсах,Купер Алан,Питер:Библиотека программиста,1401,1796,22,На складе
"Высоконагруженные приложения. Программирование, масштабирование, поддержка",Клеппман Мартин,Питер:Бестселлеры O`Reilly,2716,3482,22,На складе
Глубокое обучение с точки зрения практика,"Паттерсон Джош, Гибсон Адам",ДМК-Пресс,1509,3354,55,На складе
Думай как программист. Креативный подход к созданию кода. C++ версия,Спрол Антон,Бомбора:Мировой компьютерный бестселлер,777,1064,27,На складе
Релевантный поиск с использованием Elasticsearch и Solr,"Тарнбулл Даг, Берримен Джон",ДМК-Пресс,1277,2837,55,На складе
Программирование на языке Rust. Цветное издание,"Блэнди Джим, Орендорф Джейсон",ДМК-Пресс,1741,3869,55,На складе
Алгоритмы для начинающих. Теория и практика для разработчика,Луридас Панос,Бомбора:Мировой компьютерный бестселлер,1219,1670,27,На складе
Язык С в XXI веке,Клеменс Бен,ДМК-Пресс,1103,2450,55,На складе
Android. Сборник рецептов. Задачи и решения для разработчиков приложений,Дарвин Ян Ф.,Диалектика,3258,7240,55,Ограничено
Официальное руководство Cisco по подготовке к сертификационным экзаменам CCENT/CCNA ICND1 100-105,Одом Уэнделл,Вильямс,6210,13800,55,На складе
Теория и практика делового общения для разработчиков программного обеспечения и IT-менеджеров,Абельская Раиса Шолемовна,Флинта,158,352,55,На складе
Анализ социальных медиа на Python,Бонцанини Марко,ДМК-Пресс,929,2064,55,На складе
Глубокое обучение (цветная),Бенджио Иошуа и др.,ДМК-Пресс,2500,5556,55,На складе
"Прямые и обратные задачи восстановления изображений, спектроскопии и томографии с MatLab (+CD)",Сизиков Валерий Сергеевич,Лань:Учебники для вузов. Специальная литература,1638,3640,55,Ограничено
Функциональное программирование на JavaScript. Как улучшить код JavaScript-программ,Атенсио Луис,Вильямс,2334,5186,55,На складе
Разработка операционной системы и компилятора. Проект Оберон,"Вирт Никлаус, Гуткнехт Юрг",ДМК-Пресс:Классика программирования,929,2064,55,На складе
CodeVisionAVR. Пособие для начинающих,Лебедев Михаил Борисович,ДМК-Пресс:Программируемые системы,813,1806,55,На складе
"Как написать безопасный код на С++, Java, Perl, PHP, ASP.NET",Ховард Майкл и др.,ДМК-Пресс,646,1436,55,На складе
Scala. Профессиональное программирование,Одерски Мартин и др.,Питер:Библиотека программиста,2274,2915,22,На складе
Искусство алгоритмизации,Потопахин Виталий Валерьевич,ДМК-Пресс,638,1417,55,На складе
Java 9. Полный обзор нововведений,Кишори Шаран,ДМК-Пресс:Программирование,1161,2580,55,Ограничено
Kotlin в действии,"Жемеров Дмитрий Борисович, Исакова Светлана Сергеевна",ДМК-Пресс,1161,2580,55,На складе
Конкурентное программирование на Scala,Прокопец Александр,ДМК-Пресс,986,2192,55,На складе
Крупномасштабное машинное обучение вместе с Python,Шарден Бастиан и др.,ДМК-Пресс,929,2064,55,На складе
Программирование на Clojure,Эмерик Чаз и др.,ДМК-Пресс:Функциональное программирование,1393,3095,55,На складе
C# 7.0. Карманный справочник. Скорая помощь для программистов на C# 7.0,"Албахари Джозеф, Албахари Бен",Вильямс,934,2075,55,Ограничено
Адаптивный код. Гибкое кодирование с помощью паттернов проектирования и принципов SOLID,Холл Гэри Маклин,Вильямс,2573,5717,55,На складе
Секреты JavaScript ниндзя,Резиг Джон и др.,Вильямс,3258,7240,55,На складе
Курс программирования на языке Си. Учебник,"Подбельский Вадим Валерьевич, Фомин Сергей Сергеевич",ДМК-Пресс,696,1547,55,На складе
СУБД для программиста. Базы данных изнутри,Тарасов Сергей Витальевич,Солон-пресс:Библиотека профессионала,720,1601,55,На складе
Объектно-ориентированное программирование в С++,Лафоре Роберт,Питер:Классика computer science,1888,2421,22,На складе
Язык программирования C++. Базовый курс,Липпман Стенли Б. и др.,Вильямс,4544,10097,55,На складе
Машинное обучение с использованием библиотеки Н2О,Кук Даррен,ДМК-Пресс,929,2064,55,На складе
Silverlight 5 с примерами на C# для профессионалов,Мак-Дональд Мэтью,Вильямс,1400,3112,55,На складе
Java EE 7. Основы,Гупта Арун,Вильямс,700,1556,55,Ограничено
Java SE 8. Вводный курс,Хорстманн Кей С.,Вильямс,772,1715,55,На складе
Joomla! Для профессионалов,Рамел Дэн,Вильямс,1166,2592,55,На складе
Microsoft Exchange Server 2013. Полное руководство,Моримото Рэнд и др.,Вильямс,2573,5717,55,На складе
WinRT. программирование на C# для профессионалов,"Рихтер Джеффри, ван де Боспурт Мартен",Вильямс,1166,2592,55,На складе
"Программирование для iOS 7. Основы Objective-C, Xcode и Cocoa",Нойбург Мэтт,Вильямс,1030,2288,55,Ограничено
Руководство для программиста на Java. 75 рекомендаций по написанию надежных и защищенных программ,Лонг Фрэд и др.,Вильямс,687,1526,55,Ограничено
ASP.NET MVC 5 с примерами на C# 5.0 для профессионалов,Фримен Адам,Вильямс,2573,5717,55,Ограничено
Drupal 7. Руководство пользователя,Колисниченко Денис Николаевич,Диалектика,242,538,55,На складе
Joomla 2.5. Руководство пользователя,Колисниченко Денис Николаевич,Диалектика,393,873,55,Ограничено
Расширение библиотеки STL для С++. Наборы и итераторы (+CD),Уилсон Мэтью,BHV,607,1348,55,Ограничено
Python на практике,Саммерфилд Марк,ДМК-Пресс:Профессиональная серия программиста,929,2064,55,На складе
Линейное программирование. Руководство к решению задач,Лунгу Константин Никитович,Физматлит,203,452,55,Ограничено
Поисковая адаптация. Теория и практика,Курейчик Виктор Михайлович и др.,Физматлит:Информационные и компьютерные технологии,415,922,55,Ограничено
Методы оптимальных решений. В 2 томах. Том 1. Общие положения. Математическое программирование,"Соколов Александр Валерьевич, Токарев Владислав Васильевич",Физматлит,1017,2259,55,На складе
Методы оптимальных решений. В 2 томах. Том 2. Многокритериальность. Динамика. Неопределенность,Токарев Владислав Васильевич,Физматлит,965,2145,55,Ограничено
Компьютерное моделирование логических процессов. Архитектура и язык решателя задач,Подколзин Александр Сергеевич,Физматлит,1072,2383,55,Ограничено
Дизайн и эволюция языка С++,Страуструп Бьерн,ДМК-Пресс:Для программистов,870,1934,55,На складе
Программирование в Delphi. Учебник по классическим версиям Delphi (+CD),Архангельский Алексей Яковлевич,Бином: ,941,2092,55,Ограничено
Обработка естественного языка на Java,Риз Ричард,ДМК-Пресс,813,1806,55,Ограничено
Теория вычислений для программистов,Стюарт Том,ДМК-Пресс:Теория программирования,929,2064,55,На складе
Алгоритмы и структуры данных. Новая версия для Оберона,Вирт Никлаус,ДМК-Пресс:Классика программирования,522,1161,55,На складе
Искусство поиска решения в нестандартной задаче,Потопахин Виталий Валерьевич,ДМК-Пресс:Прикладное программирование,352,783,55,На складе
Программирование на Python для начинающих,МакГрат Майк,Эксмо-Пресс:Программирование для начинающих,673,922,27,На складе
Применение Web-стандартов. CSS и Ajax для больших сайтов,Шмитт Кристофер и др.,Корона-Принт,206,458,55,На складе
Автоматизированные информационно-управляющие системы с применением SCADA-системы TRACE MODE,Пьявченко Тамила Алексеевна,Лань:Учебники для вузов. Специальная литература,1257,2794,55,На складе
ATDD. Разработка программного обеспечения через приемочные тесты. Практический подход,Гэртнер Маркус,ДМК-Пресс,753,1674,55,На складе
Читаем Тьюринга. Путешествие по исторической статье Тьюринга о вычислимости и машинах Тьюринга,Петцольд Чарльз,ДМК-Пресс:Классика программирования,990,2200,55,На складе
Шейдеры и эффекты в Unity. Книга рецептов,Ламмерс Кенни,ДМК-Пресс,638,1417,55,На складе
JavaScript и jQuery. Исчерпывающее руководство,Макфарланд Дэвид,Эксмо:Мировой компьютерный бестселлер,1772,2427,27,На складе
MUMPS СУБД. Практика применения и опыт программирования,Каратаев Евгений Анатольевич,Солон-пресс:Библиотека профессионала,901,2002,55,Ограничено
Полезное программирование. Уникальное руководство,Комлев Николай Юрьевич,Солон-пресс:Библиотека профессионала,609,1353,55,На складе
Visual FoxPro 9.0. Учебный курс,,Корона-Принт,372,827,55,На складе
MATLAB и SIMULINK для радиоинженеров,Дьяконов Владимир Павлович,ДМК-Пресс:Математика и Matlab,1682,3738,55,На складе
Справочник по языку Haskell,Душкин Роман Викторович,ДМК-Пресс: ,753,1674,55,На складе
Программирование на ассемблере на платформе x86-64,Аблязов Руслан Зуфярович,ДМК-Пресс,522,1161,55,На складе
Семантический веб,Антониоу Григорис и др.,ДМК-Пресс,696,1547,55,Ограничено
Функциональное программирование на языке Haskell,Душкин Роман Викторович,ДМК-Пресс,813,1806,55,На складе
Программирование на языке Go. Разработка приложений XXI века,Саммерфильд Марк,ДМК-Пресс:Профессиональное программирование,1161,2580,55,На складе
Разработка программного обеспечения: управление изменениями,"Белладжио Дэвид, Миллиган Том",ДМК-Пресс: ,507,1126,55,Ограничено
От математики к обобщенному программированию,"Степанов Александр, Роуз Дэниэл Э.",ДМК-Пресс,696,1547,55,На складе
Изучаем программирование на JavaScript,"Фримен Эрик, Робсон Элизабет",Питер:Head First (O'Reilly),2377,3048,22,На складе
Путь Ruby,"Фултон Хэл, Арко Андрэ",ДМК-Пресс:Профессиональная серия программиста,1161,2580,55,На складе
Программирование на Objective-C,Кочан Стивен,Эком:Библиотека разработчика,1162,2582,55,Ограничено
Изучаем Spark,Карау Холден и др.,ДМК-Пресс,753,1674,55,На складе
Статистический анализ и визуализация данных с помощью R,"Мастицкий Сергей Эдуардович, Шитиков Владимир",ДМК-Пресс,929,2064,55,На складе
LLVM. Инфраструктура для разработки компиляторов,"Кардос Лопес Бруно, Аулер Рафаэль",ДМК-Пресс,811,1802,55,На складе
OpenGL ES 3.0. Руководство разработчика,"Гинсбург Дэн, Пурномо Будирижанто",ДМК-Пресс,1044,2321,55,На складе
Современный Фортран на практике,Маркус Арьен,ДМК-Пресс,870,1934,55,На складе
Elastix - общайтесь свободно!,Юров Владислав,Эком,704,1565,55,Ограничено
Постреляционная СУБД Cache 5. Объектно-ориентированная разработка приложений (+CD),Кирстен Вольфганг и др.,Бином,376,836,55,Ограничено
Квантовые вычисления и функциональное программирование,Душкин Роман Викторович,ДМК-Пресс,410,911,55,На складе
Создание облачных и мобильных приложений на языке F#,Мол Дэниел,ДМК-Пресс:Функциональное программирование,466,1035,55,На складе
"Проектирование на ПЛИС. Архитектура, средства и методы. Курс молодого бойца",Максфилд Клайв,ДМК-Пресс:Программируемые системы,696,1547,55,На складе
Программирование микроконтроллеров ATMEL на языке C (+CD),Прокопенко Вадим Сергеевич,Корона-Принт,611,1358,55,На складе
Семь моделей конкуренции и параллелизма за семь недель,Батчер Пол,ДМК-Пресс,1044,2321,55,На складе
Адаптивные и инвариантные алгоритмы обнаружения объектов на изображениях и их моделирование в Matla,Волков Владимир Юрьевич,Лань,712,1582,55,На складе
Дневник охотника за ошибками. Путешествие через джунгли проблем безопасности программного обеспеч.,Клейн Тобиас,ДМК-Пресс,929,2064,55,На складе
Введение в UML от создателей языка,Рамбо Джеймс и др.,ДМК-Пресс:Классика программирования,696,1547,55,На складе
Построение распределенных систем на базе WebSocket. Учебное пособие,"Хабаров Сергей Петрович, Шилкина Мария Львовна",Лань:Компьютеры и программное обеспечение,1057,2348,55,Ограничено
Практическое введение в язык программирования Си. СПО,"Солдатенко Илья Сергеевич, Попов Иван Владимирович",Лань:Компьютеры и программное обеспечение,716,1591,55,На складе
Проектирование и разработка WEB-приложений. Введение в frontend и backend разработку. СПО,"Заяц Анатолий Моисеевич, Васильев Николай Павлович",Лань:Компьютеры и программное обеспечение,815,1811,55,Ограничено
Оформление программного кода,Столяров Андрей Викторович,ДМК-Пресс,672,1494,55,Ограничено
Простой Python для опытных программистов,Гаско Рик,Солон-пресс:Программирование,581,1290,55,На складе
Профессиональная разработка на Python,Уилкс Мэттью,ДМК-Пресс,1974,4386,55,На складе
Программируй & типизируй,Ришкуция Влад,Питер:Библиотека программиста,2053,2632,22,На складе
Основы Python. Научитесь мыслить как программист,Дауни Аллен Б.,"Манн, Иванов и Фербер",1234,1691,27,На складе
SimInTech. Преобразователи автономных источников электроэнергии,"Калачёв Ю. Н., Александров А. Г.",ДМК-Пресс,870,1934,55,На складе
JavaScript. Готовые программы. Учебное пособие,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,853,1896,55,Ограничено
JavaScript. Готовые программы. СПО,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,879,1953,55,На складе
TypeScript быстро,"Файн Яков, Моисеев Антон",Питер:Для профессионалов,2288,2933,22,На складе
C# 8 и .NET Core. Разработка и оптимизация,Прайс Марк Дж.,Питер:Для профессионалов,3169,4063,22,На складе
Разработка базы данных в Access. Учебное пособие,Волик Мария Владимировна,Прометей,242,537,55,На складе
Основы программирования на языке С. Учебное пособие,"Гагарина Лариса Геннадьевна, Дорогова Екатерина Георгиевна",ИНФРА-М:Высшее образование. Бакалавриат,1155,2567,55,На складе
Python. Быстрый старт,Чан Джейми,Питер:Библиотека программиста,931,1194,22,На складе
C++ для профи,Лоспинозо Джош,Питер:Для профессионалов,2989,3832,22,На складе
Интеллектуальные информационные системы и методы искусственного интеллекта,"Андрейчиков Александр Валентинович, Андрейчикова Ольга Николаевна",ИНФРА-М:Высшее образование. Магистратура,2643,5873,55,На складе
Инструментальные средства разработки программного обеспечения Системы Fossil,Орещенков Игорь Сергеевич,Лань:Компьютеры и программное обеспечение,1349,2997,55,На складе
"Эффективный Java. Тюнинг кода на Java 8, 11 и дальше",Оукс Скотт,Питер:Бестселлеры O`Reilly,2974,3813,22,На складе
gRPC. Запуск и эксплуатация облачных приложений. Go и Java для Docker и Kubernetes,"Индрасири Касун, Курупу Данеш",Питер:Бестселлеры O`Reilly,1634,2095,22,На складе
Python. Сборник упражнений,Стивенсон Бен,ДМК-Пресс,813,1806,55,На складе
Совершенный алгоритм. Алгоритмы для NP-трудных задач,Рафгарден Тим,Питер:Библиотека программиста,1731,2219,22,На складе
"Стильный Java. Код, который работает всегда и везде",Фаэлла Марко,Питер:Библиотека программиста,2228,2856,22,На складе
Внедрение зависимостей на платформе .NET,"Симан Марк, Дерсен Стивен Ван",Питер:Для профессионалов,2974,3813,22,На складе
Карьера программиста,Лакман Макдауэлл Гейл,Питер:Библиотека программиста,1949,2499,22,На складе
Глубокое обучение. Легкая разработка проектов на Python,Вейдман Сет,Питер:Бестселлеры O`Reilly,2660,3410,22,На складе
Паттерны проектирования для C# и платформы .NET Core,"Арораа Гаурав, Чилберто Джеффри",Питер:Для профессионалов,3189,4089,22,На складе
Структуры и алгоритмы обработки данных. Учебник для СПО,"Павлов Леонид Александрович, Первова Наталия Викторовна",Лань:Компьютеры и программное обеспечение,783,1739,55,Ограничено
Численные методы и программирование. Учебное пособие для СПО,Слабнов Виктор Дмитриевич,Лань:Компьютеры и программное обеспечение,2197,4882,55,На складе
Технология разработки программного обеспечения. Учебное пособие для СПО,Зубкова Татьяна Михайловна,Лань:Компьютеры и программное обеспечение,1320,2933,55,На складе
Изучаем C++ через программирование игр,Доусон Майкл,Питер,1000,1282,22,На складе
Совершенный софт. Совершенный софт - совершенная карьера,Леве Джувел,Питер:Для профессионалов,2030,2602,22,На складе
"Spark в действии. С примерами Java, Python и Scala",Перрен Жан-Жорж,ДМК-Пресс,1974,4386,55,На складе
Изучаем Power Query. Наглядный подход к подключению и преобразованию данных из множества источников,"Фоукс Линда, Спарроу Уоррен",ДМК-Пресс,1294,2875,55,На складе
Секреты Python Pro,Хиллард Дейн,Питер:Для профессионалов,2187,2804,22,На складе
Программирование на Python в примерах и задачах,Васильев Алексей Николаевич,Бомбора:Российский компьютерный бестселлер,1124,1540,27,На складе
Моделирование и оптимизация процессов управления в технологических системах. Учебник,"Колтунов Игорь Ильич, Крыжановская Татьяна Георгиевна",Кнорус:Магистратура,707,1572,55,На складе
Квантовые вычисления. Прикладной подход,Хидари Джек Д.,ДМК-Пресс,1161,2580,55,На складе
JavaScript. Полное руководство,Флэнаган Дэвид,Вильямс,3500,7778,55,На складе
Проектирование информационных систем. Методы и средства структурно-функционального проектирования,"Гвоздева Татьяна Вадимовна, Баллод Борис Анатольевич",Лань:Компьютеры и программное обеспечение,712,1582,55,Ограничено
Структуры дан.в C#.Лин.и нелин.динамич.структ.СПО,Симонова Елена Витальевна,Лань:Компьютеры и программное обеспечение,839,1864,55,Ограничено
"Проектирование информационных систем. Стандартизация, техническое документирование информ. систем","Гвоздева Татьяна Вадимовна, Баллод Борис Анатольевич",Лань:Компьютеры и программное обеспечение,935,2077,55,На складе
Системы отображения информации. Дискретные индикаторы. Учебник для вузов,Смирнов Виктор Михайлович,Лань:Компьютеры и программное обеспечение,1453,3228,55,На складе
"Инфокоммуникационные системы. Протоколы,интерфейсы. Практикум. СПО",Журавлев Антон Евгеньевич,Лань:Компьютеры и программное обеспечение,1222,2716,55,На складе
Нечеткое моделирование и управление в технических системах. Учебное пособие для вузов,Кудинов Юрий Иванович и др.,Лань:Компьютеры и программное обеспечение,1320,2933,55,На складе
Мультимедийные технологии. Учебник для СПО,Катунин Геннадий Павлович,Лань:Компьютеры и программное обеспечение,1991,4425,55,Ограничено
"Swift. Основы разработки приложений под iOS, iPadOS и macOS",Усов Василий,Питер:Библиотека программиста,1810,2321,22,На складе
Система модулей Java,Парлог Николай,Питер:Для профессионалов,2345,3006,22,На складе
Игровой движок. Программирование и внутреннее устройство,Грегори Джейсон,Питер:Для профессионалов,5005,6417,22,На складе
Принципы юнит-тестирования,Хориков Владимир,Питер:Для профессионалов,1283,1645,22,На складе
Простой Python. Современный стиль программирования,Любанович Билл,Питер:Бестселлеры O`Reilly,1872,2400,22,На складе
Kotlin. Сборник рецептов. Предметный подход,Коузен Кен,ДМК-Пресс,929,2064,55,На складе
Олимпиадное программирование,Лааксонен Антти,ДМК-Пресс,1359,3019,55,На складе
Компьютерная арифметика. Учебное пособие. СПО (+CD),Иорданский Михаил Анатольевич,Лань:Компьютеры и программное обеспечение,662,1470,55,Ограничено
Программирование. Практикум. Учебное пособие,Быкадорова Елена Анатольевна,Лань:Компьютеры и программное обеспечение,314,697,55,На складе
Системное программное обеспечение информационных мультимедиасистем. Учебное пособие,"Иванько Александр Федорович, Иванько Михаил Александрович",Лань:Компьютеры и программное обеспечение,430,955,55,На складе
Распределенные системы,"Таненбаум Эндрю, Стин ван Мартен",ДМК-Пресс,1974,4386,55,На складе
Основы алгоритмизации и программирования на PythonОсновы алгоритмизации и программирования на Python,Гуриков Сергей Ростиславович,Форум:Высшее образование: Бакалавриат,2225,4945,55,На складе
Android. Программирование для профессионалов,Филлипс Билл и др.,Питер:Для профессионалов,2039,2614,22,На складе
Принципы разработки программных пакетов. Проектирование повторно используемых компонентов,Нобак Маттиас,ДМК-Пресс,1044,2321,55,Ограничено
Распределенные системы реального времени. Теория и практика,Эрджиес Кайхан,ДМК-Пресс,1393,3095,55,На складе
Программирование на Python. Базовый курс,Седжвик Роберт и др.,Вильямс,1789,3976,55,На складе
Нативная разработка мобильных приложений. Перекрестный справочник для iOS и Android,"Льюис Шон, Данн Майк",ДМК-Пресс,1161,2580,55,На складе
